,stage_name,gender,role_type,real_name
0,Willie Aames,M,RU:,William Aames
1,Bud Abbott,M,R:straight,William Abbott
2,Diahnne Abbott,F,R:sexy,
3,George Abbott,M,"R:playwright, producer",George Abbott
4,John Abbott,M,"R:staring eyes, eccentric parts",John Abbott
5,Philip Abbott,M,R:second lead,Philip Abbott
6,Kareem AbdulJabbar,M,R:basketball player,
7,Walter Abel,M,R:harrassed hero,Walter Abel
8,F.Murray Abraham,M,RU:,
9,James Abrahams,M,RU:,
10,Maury Abram,,RU:,
11,Victoria Abril,F,R:sexy,
12,Joss Ackland,M,R:larger-than-life personality,Joss Ackland
13,Dan Ackroyd,M,R:comic,Dan Ackroyd
14,David Ackroyd,M,RU:,
15,Peter Ackroyd,M,RU:,
16,Rodolfo Acosta,M,R:cold-eyed,Rodolfo Acosta
17,Eddie Acuff,M,R:supporting comedian,Eddie Acuff
18,Jean Adair,F,R:sweet aunt,Jean Adair
19,Alfred Adam,M,"R:weak, villainous",Alfred Adam
20,Ronald Adam,M,"R:well-bred, stuffy professional",Ronald Adam
21,John Adames,M,RU:,
22,Beverly Adams,F,R:lead,Beverly Adams
23,Brooke Adams,F,R:laid-back,Brooke Adams
24,Catlin Adams,,RU:,Catlin Barab
25,Dorothy Adams,F,R:timorous sullen,Dorothy Adams
26,Edie Adams,F,R:pert comedienne,Elizabeth Edith Enke
27,Jane Adams,F,RU:,Jane Adams
28,Jill Adams,F,R:pert light lead,Julia Adams
29,Julie Adams,F,R:soft,\S{Betty May (Julia) Adams
30,Maud Adams,F,R:lead,Maude Wikstrom
31,Nick Adams,M,R:neurotic aggressive lead,Nicholas Adamschock
32,Robert Adams,M,R:black,Robert Adams
33,Sam Adams,M,R:comic,
34,Tome Adams,M,R:burly,Tome Adams
35,Dawn Addams,F,"R:smart, glamorous",Dawn Addams
36,Wesley Addy,M,"R:humourless, sinister",Wesley Addy
37,Isabelle Adjani,F,R:lead,Isabelle Adjani
38,Jay Adler,M,R:character,Jay Adler
39,Luther Adler,M,R:heavy,Lutha Adler
40,Renee Adoree,F,R:exotic,Jeanne de la Font\`e
41,Mario Adorf,M,R:European films,Mario Adorf
42,Max Adrian,M,R:high camp personality,Max Bor
43,John Agar,M,R:lead,John Agar
44,Rati Agnihotri,F,R:modern dancer,fn bn
45,Jenny Agutter,F,R:lead,Jenny Agutter
46,Brian Aherne,M,R:gentle lead,Brian Aherne
47,Philip Ahn,M,R:Asiatic,Philip Ahn
48,Anouk Aim\'ee,F,R:poised heartthrob,Fran{\c}coise Sorya Dreyfus
49,Richard Ainley,M,RU:,Richard Ainley
50,Maria Aitkins,F,RU:,
51,Franklyn Ajaye,M,RU:,
52,Muriel Aked,F,"R:comedy spinster, gossip",Muriel Aked
53,Claude Akins,M,"R:western villain, burly middle-aged hero",Claude Akins
54,Serap Aksoy,F,R:sr,Serap Aksoy
55,Josh Albee,M,RU:,
56,Anna Maria Alberghetti,F,R:singer,Anna Maria Alberghetti
57,Han Albers,M,R:lead,Han Albers
58,Eddie Albert,M,R:honest Joe,Eddie Albert Heimberger
